company,carbon_emissions,energy_usage,employee_satisfaction,diversity_score,board_independence,ethics_score
CompanyA,80,70,85,75,90,88
CompanyB,60,65,70,60,75,80
CompanyC,90,85,60,55,65,70
CompanyD,50,55,90,80,85,92
CompanyE,75,70,65,68,78,82
CompanyF,45,40,95,85,88,90
CompanyG,85,80,55,50,60,65
CompanyH,55,60,80,75,82,85
CompanyI,70,65,75,70,72,78
CompanyJ,95,90,45,40,55,60
CompanyK,40,35,92,88,90,95
CompanyL,65,70,68,62,75,80
CompanyM,78,75,72,65,70,75
CompanyN,50,45,88,82,85,88
CompanyO,88,82,52,48,62,68
CompanyP,42,38,90,85,88,92
CompanyQ,72,68,70,65,78,82
CompanyR,58,55,82,78,80,85
CompanyS,92,88,48,42,58,62
CompanyT,48,42,91,86,87,90
